"soil_name","horizon","mg_per","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","mg_g_m2","total_mg_horizon"
"acadia","0_10",0.00384,1.4,0.246635757280942,1,58.5,36.4,5.1,2,5.26848e-07,1e-05
"acadia","10_20",0.00894,1.5096443452381,0.210069553241103,NA,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.30977930866267e-06,1e-05
"acadia","20_40",0.01404,1.62,0.215883238671701,1,40.9,37.5,21.6,2,2.2289904e-06,4e-05
"acadia","40_100",0.03812,1.81,0.05,3,35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,6.78472466666667e-06,0.00041
"albany","0_10",0.0151955555555556,1.6,0.246635757280942,1,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,2.42993817283951e-06,2e-05
"albany","10_20",0.00114857142857143,1.5096443452381,0.210069553241103,NA,45.6285714285714,5.97142857142857,2.24285714285714,NA,1.7339343622449e-07,0
"albany","20_40",0.00319111111111111,1.69,0.014142135623731,2,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,5.38998167901235e-07,1e-05
"albany","40_100",0.00201735849056604,1.74666666666667,0.0956382071489562,6,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,3.52099346956213e-07,2e-05
"allanton","0_10",0.00108,1.3509262485482,0.246635757280942,NA,21.2,6.2,7.8,NA,1.45900034843206e-07,0
"allanton","10_20",0.00024,1.5096443452381,0.210069553241103,NA,95.2,6.5,2,NA,3.62314642857144e-08,0
"allanton","20_40",0.00024,1.50104635443921,0.215883238671701,NA,17.25,8.15,3.05,NA,3.6025112506541e-08,0
"allanton","40_100",0.00012,1.59451747615447,0.19649269329816,NA,68.1,7,2.68,NA,1.91342097138536e-08,0
"angelina","0_10",3.96,1.53,0.246635757280942,1,30.2,40.5,29.3,NA,0.00060588,0.00606
"angelina","10_20",4.835,1.5096443452381,0.210069553241103,NA,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.000708364984047431,0.00708
"angelina","20_40",5.71,1.81,0.215883238671701,1,16.6,42.1,41.3,NA,0.00103351,0.02067
"angelina","40_100",3.27,1.69666666666667,0.0550757054728611,3,52.5333333333333,22.9666666666667,24.5,NA,0.000554810000000001,0.03329
"appling","0_10",8e-04,1.3509262485482,0.246635757280942,NA,65.0666666666667,21.1333333333333,12.6,4,1.03751135888502e-07,0
"appling","10_20",0.00555,1.5096443452381,0.210069553241103,NA,31.175,38.425,15.125,NA,8.37852611607146e-07,1e-05
"appling","20_40",0.0066,1.50104635443921,0.215883238671701,NA,36.8,20.6,42.6,NA,9.90690593929879e-07,2e-05
